Gene_Original	Gene_Query	Status	UniProt_ID	Entry_Name	Curacao	Nome_Proteina	Gene_Primario_UniProt	Sinonimos	Tamanho_aa	Link_UniProt
PI3	PI3	Mapeado	P19957	ELAF_HUMAN	Swiss-Prot (Reviewed)	Elafin	PI3	WAP3, WFDC14	117	https://www.uniprot.org/uniprotkb/P19957/entry
HERC6	HERC6	Mapeado	Q8IVU3	HERC6_HUMAN	Swiss-Prot (Reviewed)	Probable E3 ubiquitin-protein ligase HERC6	HERC6		1022	https://www.uniprot.org/uniprotkb/Q8IVU3/entry
LYZ	LYZ	Mapeado	P61626	LYSC_HUMAN	Swiss-Prot (Reviewed)	Lysozyme C	LYZ	LZM	148	https://www.uniprot.org/uniprotkb/P61626/entry
APOL1	APOL1	Mapeado	O14791	APOL1_HUMAN	Swiss-Prot (Reviewed)	Apolipoprotein L1	APOL1	APOL	398	https://www.uniprot.org/uniprotkb/O14791/entry
IFI6	IFI6	Mapeado	P09912	IFI6_HUMAN	Swiss-Prot (Reviewed)	Interferon alpha-inducible protein 6	IFI6	G1P3	130	https://www.uniprot.org/uniprotkb/P09912/entry
HSPA6	HSPA6	Mapeado	P17066	HSP76_HUMAN	Swiss-Prot (Reviewed)	Heat shock 70 kDa protein 6	HSPA6	HSP70B'	643	https://www.uniprot.org/uniprotkb/P17066/entry
C15ORF48	C15ORF48	Mapeado	Q9C002	CX4L3_HUMAN	Swiss-Prot (Reviewed)	Cytochrome c oxidase associated subunit FA4L3	COXFA4L3	C15orf48, MOCCI, NMES1	83	https://www.uniprot.org/uniprotkb/Q9C002/entry
KLRB1	KLRB1	Mapeado	Q12918	KLRB1_HUMAN	Swiss-Prot (Reviewed)	Killer cell lectin-like receptor subfamily B member 1	KLRB1	CLEC5B, NKRP1A	225	https://www.uniprot.org/uniprotkb/Q12918/entry
CYP4F22	CYP4F22	Mapeado	Q6NT55	CP4FN_HUMAN	Swiss-Prot (Reviewed)	Ultra-long-chain fatty acid omega-hydroxylase	CYP4F22		531	https://www.uniprot.org/uniprotkb/Q6NT55/entry
HLA-DQB1	HLA-DQB1	Mapeado	P01920	DQB1_HUMAN	Swiss-Prot (Reviewed)	HLA class II histocompatibility antigen, DQ beta 1 chain	HLA-DQB1	HLA-DQB	261	https://www.uniprot.org/uniprotkb/P01920/entry
SLC51B	SLC51B	Mapeado	Q86UW2	OSTB_HUMAN	Swiss-Prot (Reviewed)	Organic solute transporter subunit beta	SLC51B	OSTB	128	https://www.uniprot.org/uniprotkb/Q86UW2/entry
NOXRED1	NOXRED1	Mapeado	Q6NXP6	NXRD1_HUMAN	Swiss-Prot (Reviewed)	NADP-dependent oxidoreductase domain-containing protein 1	NOXRED1	C14orf148	359	https://www.uniprot.org/uniprotkb/Q6NXP6/entry
C7ORF57	C7ORF57	Mapeado	Q8NEG2	CG057_HUMAN	Swiss-Prot (Reviewed)	Uncharacterized protein C7orf57	C7orf57		295	https://www.uniprot.org/uniprotkb/Q8NEG2/entry
EFCAB13	EFCAB13	Mapeado	Q8IY85	EFC13_HUMAN	Swiss-Prot (Reviewed)	EF-hand calcium-binding domain-containing protein 13	EFCAB13	C17orf57	973	https://www.uniprot.org/uniprotkb/Q8IY85/entry
HCAR3	HCAR3	Mapeado	P49019	HCAR3_HUMAN	Swiss-Prot (Reviewed)	Hydroxycarboxylic acid receptor 3	HCAR3	GPR109B, HCA3, HM74B, NIACR2	387	https://www.uniprot.org/uniprotkb/P49019/entry
ADAMTS9	ADAMTS9	Mapeado	Q9P2N4	ATS9_HUMAN	Swiss-Prot (Reviewed)	A disintegrin and metalloproteinase with thrombospondin motifs 9	ADAMTS9	KIAA1312	1935	https://www.uniprot.org/uniprotkb/Q9P2N4/entry
MYNN	MYNN	Mapeado	Q9NPC7	MYNN_HUMAN	Swiss-Prot (Reviewed)	Myoneurin	MYNN	OSZF, ZBTB31	610	https://www.uniprot.org/uniprotkb/Q9NPC7/entry
SP7	SP7	Mapeado	Q8TDD2	SP7_HUMAN	Swiss-Prot (Reviewed)	Transcription factor Sp7	SP7	OSX	431	https://www.uniprot.org/uniprotkb/Q8TDD2/entry
SLC1A2	SLC1A2	Mapeado	P43004	EAA2_HUMAN	Swiss-Prot (Reviewed)	Excitatory amino acid transporter 2	SLC1A2	EAAT2, GLT1	574	https://www.uniprot.org/uniprotkb/P43004/entry
PFDN4	PFDN4	Mapeado	Q9NQP4	PFD4_HUMAN	Swiss-Prot (Reviewed)	Prefoldin subunit 4	PFDN4	PFD4	134	https://www.uniprot.org/uniprotkb/Q9NQP4/entry
FGB	FGB	Mapeado	P02675	FIBB_HUMAN	Swiss-Prot (Reviewed)	Fibrinogen beta chain	FGB		491	https://www.uniprot.org/uniprotkb/P02675/entry
KANK4	KANK4	Mapeado	Q5T7N3	KANK4_HUMAN	Swiss-Prot (Reviewed)	KN motif and ankyrin repeat domain-containing protein 4	KANK4	ANKRD38	995	https://www.uniprot.org/uniprotkb/Q5T7N3/entry
EFCAB7	EFCAB7	Mapeado	A8K855	EFCB7_HUMAN	Swiss-Prot (Reviewed)	EF-hand calcium-binding domain-containing protein 7	EFCAB7	KIAA1799	629	https://www.uniprot.org/uniprotkb/A8K855/entry
PPARGC1A	PPARGC1A	Mapeado	Q9UBK2	PRGC1_HUMAN	Swiss-Prot (Reviewed)	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha	PPARGC1A	LEM6, PGC1, PGC1A, PPARGC1	798	https://www.uniprot.org/uniprotkb/Q9UBK2/entry
TOMM7	TOMM7	Mapeado	Q9P0U1	TOM7_HUMAN	Swiss-Prot (Reviewed)	Mitochondrial import receptor subunit TOM7 homolog	TOMM7	TOM7, TOMM07	55	https://www.uniprot.org/uniprotkb/Q9P0U1/entry
CSN3	CSN3	Mapeado	P07498	CASK_HUMAN	Swiss-Prot (Reviewed)	Kappa-casein	CSN3	CASK, CSN10, CSNK	182	https://www.uniprot.org/uniprotkb/P07498/entry
CLEC4D	CLEC4D	Mapeado	Q8WXI8	CLC4D_HUMAN	Swiss-Prot (Reviewed)	C-type lectin domain family 4 member D	CLEC4D	CLECSF8, MCL	215	https://www.uniprot.org/uniprotkb/Q8WXI8/entry
CD69	CD69	Mapeado	Q07108	CD69_HUMAN	Swiss-Prot (Reviewed)	Early activation antigen CD69	CD69	CLEC2C	199	https://www.uniprot.org/uniprotkb/Q07108/entry
MMP7	MMP7	Mapeado	P09237	MMP7_HUMAN	Swiss-Prot (Reviewed)	Matrilysin	MMP7	MPSL1, PUMP1	267	https://www.uniprot.org/uniprotkb/P09237/entry
CAPS2	CAPS2	Mapeado	Q9BXY5	CAYP2_HUMAN	Swiss-Prot (Reviewed)	Calcyphosin-2	CAPS2		538	https://www.uniprot.org/uniprotkb/Q9BXY5/entry
RPL41	RPL41	Mapeado	P62945	RS32_HUMAN	Swiss-Prot (Reviewed)	Small ribosomal subunit protein eS32	RPL41		25	https://www.uniprot.org/uniprotkb/P62945/entry
CENPK	CENPK	Mapeado	Q9BS16	CENPK_HUMAN	Swiss-Prot (Reviewed)	Centromere protein K	CENPK	ICEN37	269	https://www.uniprot.org/uniprotkb/Q9BS16/entry
ABCD2	ABCD2	Mapeado	Q9UBJ2	ABCD2_HUMAN	Swiss-Prot (Reviewed)	ATP-binding cassette sub-family D member 2	ABCD2	ALD1, ALDL1, ALDR, ALDRP	740	https://www.uniprot.org/uniprotkb/Q9UBJ2/entry
PFDN5	PFDN5	Mapeado	Q99471	PFD5_HUMAN	Swiss-Prot (Reviewed)	Prefoldin subunit 5	PFDN5	MM1, PFD5	154	https://www.uniprot.org/uniprotkb/Q99471/entry
ANXA1	ANXA1	Mapeado	P04083	ANXA1_HUMAN	Swiss-Prot (Reviewed)	Annexin A1	ANXA1	ANX1, LPC1	346	https://www.uniprot.org/uniprotkb/P04083/entry
JRKL	JRKL	Mapeado	Q9Y4A0	JERKL_HUMAN	Swiss-Prot (Reviewed)	Jerky protein homolog-like	JRKL		524	https://www.uniprot.org/uniprotkb/Q9Y4A0/entry
LPAL2	LPAL2	Mapeado	Q16609	LPAL2_HUMAN	Swiss-Prot (Reviewed)	Putative apolipoprotein(a)-like protein 2	LPAL2	APOARGC	132	https://www.uniprot.org/uniprotkb/Q16609/entry
ZNF415	ZNF415	Mapeado	Q09FC8	ZN415_HUMAN	Swiss-Prot (Reviewed)	Zinc finger protein 415	ZNF415		603	https://www.uniprot.org/uniprotkb/Q09FC8/entry
RGPD6	RGPD6	Mapeado	Q99666	RGPD5_HUMAN	Swiss-Prot (Reviewed)	RANBP2-like and GRIP domain-containing protein 5/6	RGPD5	RANBP2L1, RGP5, RGP7, RGPD7	1765	https://www.uniprot.org/uniprotkb/Q99666/entry
CMAHP	CMAHP	Mapeado	Q9Y471	CMAH_HUMAN	Swiss-Prot (Reviewed)	Inactive cytidine monophosphate-N-acetylneuraminic acid hydroxylase	CMAHP	CMAH	501	https://www.uniprot.org/uniprotkb/Q9Y471/entry
